,title,genres,genres_literal
0,학사재생,<QuerySet [{'genre_name': '무협'}]>,무협
1,환율이 바뀌었나요?,<QuerySet [{'genre_name': '드라마'}]>,드라마
2,무지개다리 파수꾼,<QuerySet [{'genre_name': '드라마'}]>,드라마
3,서천화원,<QuerySet [{'genre_name': '순정'}]>,순정
4,승리호,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '액션'}]>",드라마 액션
5,봄날의 팔광,"<QuerySet [{'genre_name': '순정'}, {'genre_name': '판타지'}]>",순정 판타지
6,뱀파이어님의 대리식사,"<QuerySet [{'genre_name': '순정'}, {'genre_name': '판타지'}]>",순정 판타지
7,현세이의 보이는 라디오,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '일상'}]>",드라마 일상
8,강호표사,"<QuerySet [{'genre_name': '무협'}, {'genre_name': '액션'}]>",무협 액션
9,사귄 건 아닌데,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '순정'}]>",드라마 순정
10,하나밖에 안 보여!,"<QuerySet [{'genre_name': '순정'}, {'genre_name': '학원'}]>",순정 학원
11,쓰레기 머학생,"<QuerySet [{'genre_name': '일상'}, {'genre_name': '학원'}]>",일상 학원
12,흑우,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '스릴러'}]>",드라마 스릴러
13,타원을 그리는 법,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '미스터리'}]>",드라마 미스터리
14,교수님을 빚는 중,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '순정'}]>",드라마 순정
15,조류공포증,"<QuerySet [{'genre_name': '공포'}, {'genre_name': '스릴러'}]>",공포 스릴러
16,이대로 멈출 순 없다,"<QuerySet [{'genre_name': '코믹'}, {'genre_name': '학원'}]>",코믹 학원
17,그라티아,"<QuerySet [{'genre_name': '액션'}, {'genre_name': '판타지'}]>",액션 판타지
18,집행자여,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '스릴러'}]>",드라마 스릴러
19,일단 질러! 질렐루야,"<QuerySet [{'genre_name': '일상'}, {'genre_name': '코믹'}]>",일상 코믹
20,유부녀의 탄생,"<QuerySet [{'genre_name': '일상'}, {'genre_name': '코믹'}]>",일상 코믹
21,골드핸즈,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '순정'}]>",드라마 순정
22,개목걸이,"<QuerySet [{'genre_name': '액션'}, {'genre_name': '학원'}]>",액션 학원
23,신랑이 사라졌다,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '순정'}]>",드라마 순정
24,악마의 편집,"<QuerySet [{'genre_name': '공포'}, {'genre_name': '스릴러'}]>",공포 스릴러
25,대선비쇼에 어서오세요!,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '코믹'}]>",드라마 코믹
26,사랑하는 존재,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '순정'}]>",드라마 순정
27,비밀 사이,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '순정'}]>",드라마 순정
28,아싸클럽,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '순정'}]>",드라마 순정
29,너를 만나다,"<QuerySet [{'genre_name': '순정'}, {'genre_name': '학원'}]>",순정 학원
30,뱀파이어 신드롬,"<QuerySet [{'genre_name': '액션'}, {'genre_name': '판타지'}]>",액션 판타지
31,화폐개혁,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '스릴러'}]>",드라마 스릴러
32,닥터 파인의 하루,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '순정'}, {'genre_name': '판타지'}]>",드라마 순정 판타지
33,해오와 사라,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '판타지'}]>",드라마 판타지
34,"신성한, 이혼","<QuerySet [{'genre_name': '드라마'}, {'genre_name': '지식'}]>",드라마 지식
35,멸종인간,"<QuerySet [{'genre_name': '공포'}, {'genre_name': '스릴러'}]>",공포 스릴러
36,우리집이거든요!,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '순정'}]>",드라마 순정
37,학교대표,"<QuerySet [{'genre_name': '스포츠'}, {'genre_name': '학원'}]>",스포츠 학원
38,미래의 너에게,"<QuerySet [{'genre_name': '순정'}, {'genre_name': '판타지'}]>",순정 판타지
39,아비무쌍,"<QuerySet [{'genre_name': '무협'}, {'genre_name': '판타지'}]>",무협 판타지
40,지옥사원,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '판타지'}]>",드라마 판타지
41,왕 그리고 황제,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '코믹'}]>",드라마 코믹
42,나빌레라,<QuerySet [{'genre_name': '드라마'}]>,드라마
43,방구석 여포,"<QuerySet [{'genre_name': '액션'}, {'genre_name': '학원'}]>",액션 학원
44,사랑하는 가족에게,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '스릴러'}]>",드라마 스릴러
45,수린당 -비늘 고치는 집-,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '판타지'}]>",드라마 판타지
46,미드나잇 블루,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '순정'}]>",드라마 순정
47,악녀의 탄생,"<QuerySet [{'genre_name': '순정'}, {'genre_name': '판타지'}]>",순정 판타지
48,두번째 썸,<QuerySet [{'genre_name': '순정'}]>,순정
49,저승사자 온라인,"<QuerySet [{'genre_name': '액션'}, {'genre_name': '판타지'}]>",액션 판타지
50,CELL,"<QuerySet [{'genre_name': '액션'}, {'genre_name': '학원'}]>",액션 학원
51,아버지의 복수는 끝이 없어라,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '스릴러'}]>",드라마 스릴러
52,노력의 卍(만),"<QuerySet [{'genre_name': '액션'}, {'genre_name': '판타지'}]>",액션 판타지
53,죽어도! 치우,"<QuerySet [{'genre_name': '액션'}, {'genre_name': '판타지'}]>",액션 판타지
54,금수친구들,"<QuerySet [{'genre_name': '일상'}, {'genre_name': '코믹'}]>",일상 코믹
55,설공찬전,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '순정'}]>",드라마 순정
56,말하지 말까,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '순정'}]>",드라마 순정
57,하나하나둘,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '순정'}]>",드라마 순정
58,콜로세움,"<QuerySet [{'genre_name': '스릴러'}, {'genre_name': '액션'}]>",스릴러 액션
59,키스해주세요,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '순정'}]>",드라마 순정
60,쌍갑포차,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '판타지'}]>",드라마 판타지
61,블랙 베히모스,"<QuerySet [{'genre_name': '액션'}, {'genre_name': '판타지'}]>",액션 판타지
62,쑥,<QuerySet [{'genre_name': '드라마'}]>,드라마
63,나를 지켜줘,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '순정'}]>",드라마 순정
64,백로식당,"<QuerySet [{'genre_name': '드라마'}, {'genre_name': '판타지'}]>",드라마 판타지
65,함께 춤을,<QuerySet [{'genre_name': '순정'}]>,순정
66,백의사자,<QuerySet [{'genre_name': '판타지'}]>,판타지
67,시간이 머문 집,"<QuerySet [{'genre_name': '액션'}, {'genre_name': '판타지'}]>",액션 판타지
68,마이셀프,"<QuerySet [{'genre_name': '공포'}, {'genre_name': '스릴러'}]>",공포 스릴러
69,록산,"<QuerySet [{'genre_name': '미스터리'}, {'genre_name': '스릴러'}]>",미스터리 스릴러
70,논현동 장사꾼,<QuerySet [{'genre_name': '드라마'}]>,드라마
71,중고거래,"<QuerySet [{'genre_name': '미스터리'}, {'genre_name': '스릴러'}]>",미스터리 스릴러
