idx,title,loss,scale_loss
1,학사재생,7812,0.0
2,환율이 바뀌었나요?,37691,0.05699130033398629
3,무지개다리 파수꾼,29485,0.041339149641503564
4,서천화원,37410,0.05645532003364659
5,승리호,49976,0.08042374869581305
6,봄날의 팔광,25878,0.03445914628447393
7,뱀파이어님의 대리식사,51749,0.08380557457660416
8,현세이의 보이는 라디오,35644,0.05308684597528386
9,강호표사,23858,0.030606191812281004
10,사귄 건 아닌데,30169,0.0426438134330778
11,하나밖에 안 보여!,16200,0.015999298075620907
12,쓰레기 머학생,117816,0.20982198205896546
13,흑우,24517,0.03186317052375384
14,타원을 그리는 법,21959,0.026984033127778848
15,교수님을 빚는 중,19404,0.022110617941416014
16,조류공포증,41911,0.0650405418551022
17,이대로 멈출 순 없다,29660,0.041672945202213346
18,그라티아,42645,0.06644057580687923
19,집행자여,24809,0.032420132259338166
20,일단 질러! 질렐루야,57409,0.09460147671156056
21,유부녀의 탄생,38486,0.05850768588121073
22,골드핸즈,23060,0.029084084055444395
23,개목걸이,57388,0.0945614212442754
24,신랑이 사라졌다,20055,0.02335233742725641
25,악마의 편집,26105,0.03489212681179461
26,대선비쇼에 어서오세요!,18384,0.020165066673278997
27,사랑하는 존재,28891,0.04020615213829436
28,비밀 사이,26074,0.03483299731246888
29,아싸클럽,51460,0.08325433505063201
30,너를 만나다,29239,0.04086992845330581
31,뱀파이어 신드롬,80275,0.13821615837550283
32,화폐개혁,21566,0.026234423668584875
33,닥터 파인의 하루,21986,0.027035533014288356
34,해오와 사라,18627,0.020628565651864578
35,"신성한, 이혼",21998,0.027058421852737026
36,멸종인간,30311,0.04291466468805374
37,우리집이거든요!,30217,0.04273536878687249
38,학교대표,34300,0.05052329606903273
39,미래의 너에게,34128,0.05019522271793511
40,아비무쌍,25324,0.033402444909426954
41,지옥사원,24393,0.03162665252645091
42,왕 그리고 황제,117307,0.208851113828101
43,나빌레라,24002,0.030880857873665055
44,방구석 여포,21977,0.027018366385451853
45,사랑하는 가족에게,22348,0.02772601297415659
46,수린당 -비늘 고치는 집-,26422,0.035496773627480334
47,미드나잇 블루,27939,0.03839030428803314
48,악녀의 탄생,30746,0.043744385081818056
