,id,title,author,genre,story,score,thumbnail_url,platform
0,0,참교육,채용택 / 한가람,"스토리, 액션","무너진 교권을 지키기 위해 교권보호국 소속 나화진의 참교육이 시작된다!
&lt;부활남&gt; 채용택 작가 X &lt;신석기녀&gt; 한가람 작가의 신작!",9.858,https://shared-comic.pstatic.net/thumb/webtoon/758037/thumbnail/thumbnail_IMAG06_794bcc1e-23aa-4c35-a335-b5d21b4bc2ab.jpg,네이버 웹툰
1,1,뷰티풀 군바리,설이 / 윤성원,"스토리, 드라마",'여자도 군대에 간다면?'본격 여자도 군대 가는 만화!,9.91,https://shared-comic.pstatic.net/thumb/webtoon/648419/thumbnail/thumbnail_IMAG06_44119122-8568-4293-9159-a99e2a6b0558.jpg,네이버 웹툰
2,2,윈드브레이커,조용석,"스토리, 스포츠","혼자서 자전거를 즐겨타던 모범생 조자현.
원치 않게 자전거 크루의 일에 자꾸 휘말리게 되는데...
자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마!",9.81,https://shared-comic.pstatic.net/thumb/webtoon/602910/thumbnail/thumbnail_IMAG06_b99a35be-7ac0-465f-8dfe-a22408f9af7d.jpg,네이버 웹툰
3,3,소녀의 세계,모랑지,"스토리, 드라마","완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나
여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물",9.933000000000002,https://shared-comic.pstatic.net/thumb/webtoon/654774/thumbnail/thumbnail_IMAG06_8ec78896-0b7f-44c3-9eb6-2ba9ab3b07f0.jpg,네이버 웹툰
4,4,장씨세가 호위무사,조형근 / 김인호,"스토리, 시대극","‘당신이 부른 것이오. 나란 사람을... ’
은둔고수 광휘. 호위무사 되다.
웹소설 원작 웰메이드 무협 시대극!",9.944999999999999,https://shared-comic.pstatic.net/thumb/webtoon/728750/thumbnail/thumbnail_IMAG06_50aeb870-ee3e-47e4-bb38-a0d01e49ec8f.jpg,네이버 웹툰
5,5,파이게임,배진수,"스토리, 스릴러","시간이 흐르면 돈이 쌓인다.
피가 흐르면 시간이 쌓인다.
과연 최후에 남을 상금과 승자는 누가 될 것인가?
짜릿한 현실감과 팽팽한 긴장감, 사회에 대한 냉철한 주제의식까지 돋보이는 &lt;머니게임&gt;의 후속편!",9.491000000000001,https://shared-comic.pstatic.net/thumb/webtoon/749632/thumbnail/thumbnail_IMAG06_71e33cf0-ed99-473e-a10d-e17ee46a8dc6.jpg,네이버 웹툰
6,6,만렙돌파,"성불예정,홍실 / 미노","스토리, 판타지","알 수 없는 오류로 3000년간 각성 테스트에 갇힌 김기봉.
그 사이 현실에선 10년이 흘렀고, 온 세상은 몬스터와 던전으로 가득차게 되었다. 
만렙으로 귀환한 김기봉의 모든 것을 원래대로 돌려놓기 위한 싸움이 시작된다!",9.247,https://shared-comic.pstatic.net/thumb/webtoon/759940/thumbnail/thumbnail_IMAG06_8c00c702-fb46-43c4-9347-564fb94fc3d4.jpg,네이버 웹툰
7,7,앵무살수,김성진,"스토리, 판타지","평범한 뱃사공으로 살고 있는 노소하. 
하지만 그의 정체는 전설적인 구파검법의 후계자다. 
이제 진시황이 남긴 비서 선근경을 향한 살수행이 시작된다.",9.975000000000001,https://shared-comic.pstatic.net/thumb/webtoon/739115/thumbnail/thumbnail_IMAG06_7b590828-5c9b-4b6e-879d-508c4149a636.jpg,네이버 웹툰
8,8,유일무이 로맨스,두부,"스토리, 로맨스","평범한 취준생 공유일의 일상에 
인기절정 탑배우 탁무이와 아이돌 류민이 침범해오기 시작했다! 
사심가득 탑스타♥",9.966,https://shared-comic.pstatic.net/thumb/webtoon/709731/thumbnail/thumbnail_IMAG06_f61f0de6-97b2-4dfe-9eba-fbbe6254ec7e.jpg,네이버 웹툰
9,9,백수세끼,치즈,"스토리, 드라마","백수 시절 내 곁을 지켜줬던 그녀... 돌아와 주면 안 되겠니?
음식 메뉴마다 담겨 있는 우리들의 연애 흑역사!",9.855,https://shared-comic.pstatic.net/thumb/webtoon/733074/thumbnail/thumbnail_IMAG06_0d8a0c1c-30a2-4e72-94a9-59c272266c1e.jpg,네이버 웹툰
10,10,착한건 돈이된다,유성연,"스토리, 드라마","인기도 돈도 없는 삼류 스트리머 기찬수. 
어느 날, 전 국민적 관심을 받던 '대낮 유괴사건'이 해결된다. 
이를 해결한 '얼굴 없는 의인'은 CCTV 속 뒷모습만 남긴 채 사라졌고, 사람들의 궁금증은 점점 커져만 가는데... 
사람들이 삼류 스트리머 기찬수의 영상 속 모습과 의인의 뒷모습이 유사함을 알게 되면서, 기찬수는 하루아침에 전 국민적 영웅이 된다. 
기찬수의 영웅 행세는 과연 어디까지 갈 것인가.",9.815999999999999,https://shared-comic.pstatic.net/thumb/webtoon/766575/thumbnail/thumbnail_IMAG06_3da4f26c-a37d-43c3-9389-3731b0ed0256.jpg,네이버 웹툰
11,11,칼가는 소녀,오리,"에피소드, 드라마","치사율 100%의 인싸 희귀병 소녀 '사랑'
누구보다 차분하고 두려움 없는 같은 반 소녀 '은조'
두 소녀가 가슴 속 칼을 품고 세상을 향한 복수를 꿈꾼다.
네이버웹툰 최강자전 18년 대표작.",9.975,https://shared-comic.pstatic.net/thumb/webtoon/730174/thumbnail/thumbnail_IMAG06_2c90b91a-ad4b-4903-8dac-117a99371fe4.jpg,네이버 웹툰
12,12,요리GO,HO9,"스토리, 드라마","요리고등학교 졸업 후 산에서 수련을 마친 한별.
특급 호텔 레스토랑에 인턴으로 취업하게 되지만
엄하기로 소문난 호텔 주방에서 다양한 사건들에 휘말리게 되는데...
과연 요리천재 한별은 이 어려움을 어떻게 헤쳐나갈 수 있을까?",9.965,https://shared-comic.pstatic.net/thumb/webtoon/703849/thumbnail/thumbnail_IMAG06_5cd7e5cc-2dac-4b6d-9ddd-c6f87af8a03f.jpg,네이버 웹툰
13,13,브랜든,d몬,"스토리, 드라마","할렘가 출신의 아웃사이더 브랜든은 우연히 지금과 완전히 다른 세상으로 넘어가게 되고, 그곳에서 '올미어'를 만나게 된다. 자신의 세상에선 사람인게 당연했지만 다른 세상에서는 스스로가 사람임을 증명해야만 하는 처지가 된 브랜든은 혼란에 빠지게 되는데...
&lt;데이빗&gt;,&lt;에리타&gt; d몬작가 '사람 3부작' 마지막 이야기. 
""당신은 무엇입니까?""",9.735,https://shared-comic.pstatic.net/thumb/webtoon/768433/thumbnail/thumbnail_IMAG06_d450621d-5da5-48db-a66f-684bb9c17818.jpg,네이버 웹툰
14,14,싸이코 리벤지,기송 / 넴가,"스토리, 액션","종잡을 수 없는 싸이코 스트리머 네온마스크가
전국의 모든 일진조직들을 상대로 전쟁을 벌인다.
“너희가 나의 가족을 빼앗았으니
나는 너희의 모든 걸 짓밟아주마.”",8.829999999999998,https://shared-comic.pstatic.net/thumb/webtoon/753858/thumbnail/thumbnail_IMAG06_be30b6ec-39bb-46b5-9f58-7910f748ff43.jpg,네이버 웹툰
15,15,히어로메이커,빤쓰,"옴니버스, 판타지",왕은 영웅이 되고 싶어하는 공주의 소원을 들어주기로 전격 결심! 공주를 속이고 마치 영웅이 된 것처럼 만들기 위해 온 나라가 연극을 하게 되는데..파란만장한 그들만의 눈물겨운 영웅만들기의 대장정이 펼쳐집니다~,9.911,https://shared-comic.pstatic.net/thumb/webtoon/21815/thumbnail/thumbnail_title_21815_125x101.gif,네이버 웹툰
16,16,오늘의 순정망화,손하기,"에피소드, 개그","그마고 초엘리트집단 삼국시대 앞에 나타난 전학생 가야!
가야의 마음을 얻는 건 누구?",9.986,https://shared-comic.pstatic.net/thumb/webtoon/716857/thumbnail/thumbnail_IMAG06_ff0bfef2-824f-4ce9-9bcf-5e651ca64375.jpg,네이버 웹툰
17,17,평범한 8반,영파카,"스토리, 드라마","안 평범한 아이들이 모인 평범한 8반
고품격 웰메이드 병맛을 느껴보세요",9.869,https://shared-comic.pstatic.net/thumb/webtoon/597478/thumbnail/thumbnail_IMAG06_b8fd1838-9761-40ac-b69f-98214245b285.jpg,네이버 웹툰
18,18,결혼생활 그림일기,은꼼지,"옴니버스, 일상",조용할 날 없는 우당탕탕 두 짐승의 결혼생활 이야기!,9.975000000000001,https://shared-comic.pstatic.net/thumb/webtoon/741891/thumbnail/thumbnail_IMAG06_270700ac-8ce0-4559-a780-5cb7f5ff0d09.jpg,네이버 웹툰
19,19,삶이 우리를 속일지라도,김지수,"스토리, 로맨스","재벌 3세들과 친해진 가난한 대학생!
그녀는 솔직해질 수 있을까?",9.892,https://shared-comic.pstatic.net/thumb/webtoon/726212/thumbnail/thumbnail_IMAG06_85679f7d-7cda-4fc0-8f16-29109adfb3cf.jpg,네이버 웹툰
20,20,리턴 투 플레이어,인덱스 / 세혼,"스토리, 판타지","어느 날, 게임이 되어버린 세상.
갑자기 나타난 몬스터들이 사람들을 죽이고, 사람들은 플레이어가 되어  퀘스트를 달성해야 한다!
인류의 종말에서 회귀한 2회차 플레이어, 김세한.
그는 과연 세상을 이렇게 만든 '시스템'을 쳐부술 수 있을까!",9.955000000000002,https://shared-comic.pstatic.net/thumb/webtoon/752414/thumbnail/thumbnail_IMAG06_901012a8-10a4-400c-8fb9-f83f872ad2db.jpg,네이버 웹툰
21,21,마지막 지수,에리카 / 채나라,"스토리, 로맨스","소설가를 꿈꾸는 주인공 양지수.
어느날부터 '지수'라는 이름만 골라사귀기로 소문난 바람둥이 '혜성'이 접근해오기 시작한다.
이미 남자친구 '도혁'이 있는 지수는 혜성의 접근이 불쾌할 뿐이지만, 
한 가지 수상한 점이 자꾸만 호기심을 자극한다.
'얘가 어떻게 내 연애사를 낱낱이 알고 있는거지...?'",9.891428571428571,https://shared-comic.pstatic.net/thumb/webtoon/765776/thumbnail/thumbnail_IMAG06_88eb60b4-2bd0-4820-8a7b-7d70f3517e3e.jpg,네이버 웹툰
22,22,"선배, 그 립스틱 바르지 마요",까페라떼 / JINHA,"스토리, 로맨스","좋아하는 직장선배의 애인이 다른 여자와 결혼한다고?
복수를 제안하며 다가오는 완벽남의 설렘 100% 로맨틱 어택! 
화장품 회사를 배경으로 잘생김, 섹시함, 진지함을 갖춘 직진남 후배와
연하는 남자로 안 본다는 직선녀 선배
두 사람의 밀당 &amp; 설렘 로맨스",9.852,https://shared-comic.pstatic.net/thumb/webtoon/762237/thumbnail/thumbnail_IMAG06_9f71adac-ca5b-4e3c-8b95-4d7b37646467.jpg,네이버 웹툰
23,23,야생천사 보호구역,루시드,"스토리, 로맨스","천사 가브리엘은 악마들의 장난으로 동료천사 라파엘, 우리엘과 함께 인간 세상의 고양이로 변해버린다.
아니 이게 어찌된 일인가! 낯선 인간 세상에서 고양이의 몸이라니!
고양이가 되어버린 꽃미남 천사들과 그들의 집사가 된 소녀 은호의 세상에서 가장 무해한 로맨스! (※심장에는 유해함 주의)",9.973333333333334,https://shared-comic.pstatic.net/thumb/webtoon/767919/thumbnail/thumbnail_IMAG06_1a2644d2-b378-4305-8258-4be1fbc42693.jpg,네이버 웹툰
24,24,아는 여자애,허니비,"스토리, 로맨스","어느날 갑자기 고등학생으로 돌아온 하영. 
다시 한 번 기회가 주어진다면 첫사랑을 이룰 수 있을까?
내게는 운명, 그애에겐 아는 여자애",9.967000000000002,https://shared-comic.pstatic.net/thumb/webtoon/738809/thumbnail/thumbnail_IMAG06_46c7c543-6f8b-4e61-8d9f-e1019bc83b5c.jpg,네이버 웹툰
25,25,바이러스X,준 / 하랑,"스토리, 스릴러","사망률 100%의 바이러스의 출현으로 초토화가 된 인류, 
감염 경로도 모른 채 백신을 기다리는 사람들...
이 파국의 끝은 어디인가?!!",7.487,https://shared-comic.pstatic.net/thumb/webtoon/754781/thumbnail/thumbnail_IMAG06_7126c6dc-7ed0-4cf0-80ac-62928bcf1a8c.jpg,네이버 웹툰
26,26,순정말고 순종,슈안,"스토리, 로맨스","하루에 무려 쓰리잡. 
스물 다섯 지언의 일과 끝에 남는 건 갑질에 시달린 스트레스와 돼지우리같은 집구석 뿐이다. 
그러다 어느날 얻게 된 인형 한 개. 이것만 있으면 대한민국의 탑 배우 남도윤을 가정부로 부려먹을 수있다...?!
2017 최강자전 대상 수상작 &lt;늑대와 빨간모자&gt; 슈안 작가의 차기작!",9.976000000000003,https://shared-comic.pstatic.net/thumb/webtoon/761461/thumbnail/thumbnail_IMAG06_eb267d2d-fc56-4d60-8dc2-e654d90332e1.jpg,네이버 웹툰
